tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt0117196,Nobody's Business,1996,60,"['Biography', 'Documentary']",8.0,904.0,['nm0075627']
tt0117247,One Fine Day,1996,108,"['Comedy', 'Drama', 'Romance']",6.5,47645.0,['nm0001355']
tt0117302,Pasajes,1996,90,['Drama'],5.0,84.0,['nm0130714']
tt0117312,Peanuts - Die Bank zahlt alles,1996,95,['Comedy'],5.7,115.0,['nm0738001']
tt0117324,Persons Unknown,1996,99,"['Action', 'Thriller']",5.4,840.0,['nm0382584']
tt0117336,Sacred Silence,1996,114,"['Crime', 'Drama']",6.3,410.0,['nm0135724']
tt0117365,Shadow Play,1996,111,"['Comedy', 'Romance']",5.8,492.0,['nm0240987']
tt0117407,Pusher,1996,110,"['Crime', 'Thriller']",7.3,42586.0,['nm0716347']
tt0117415,July 13th,1996,95,"['Comedy', 'Horror', 'Mystery']",4.9,55.0,['nm0157799']
tt0117418,Who Killed Pixote?,1996,116,"['Biography', 'Drama']",6.6,384.0,['nm0423631']
tt0117500,The Rock,1996,136,"['Action', 'Adventure', 'Thriller']",7.4,348942.0,['nm0000881']
tt0117578,Three Friends,1996,92,['Drama'],8.2,63.0,['nm0948027']
tt0117582,The Secret Agent,1996,95,"['Drama', 'Thriller']",5.6,2502.0,['nm0358960']
tt0117604,Seven Servants,1996,88,"['Drama', 'Romance']",6.3,728.0,"['nm0427323', 'nm0794779']"
tt0117612,Shadow Warriors,1995,89,"['Action', 'Sci-Fi', 'Thriller']",3.9,140.0,['nm0136296']
tt0117645,The Last Viking,1997,88,"['Action', 'Drama']",5.3,246.0,['nm0630861']
tt0117663,The Slab Boys,1997,97,['Drama'],6.0,90.0,['nm0126203']
tt0117735,State of Things,1995,89,['Drama'],7.1,157.0,['nm0347720']
tt0117775,Sudden Manhattan,1996,80,"['Comedy', 'Drama', 'Fantasy']",6.1,385.0,['nm0791248']
tt0117786,Mr. Nice Guy,1997,101,"['Action', 'Adventure', 'Comedy']",6.2,28124.0,['nm0005033']
tt0117797,Swallowtail Butterfly,1996,148,"['Crime', 'Drama']",7.5,4228.0,['nm0412517']
